1,0,hjbvhjnnnjkdnsjjsjsnzhsusjsnsnshsjq. hạna shwn s sjs jsamnsa j
2,1,Ốp xinh. Giá rẻ.. tai phone sài cũng oke so với giá. Có điều tai phone hơi to và thô. Nhưng vẫn đánh giá 5 sao cho shop. Hộp vẫn chuyển về có hơi móp méo
3,1,"ốp siêu chắc chắn là dạng form dày chứ không phải mỏng tanh đâu ạ, hàng của shincase thì hong phải bàn gì nữa mua chắc cũng chục lần ròi mà lần nào cũng ưngggg, đóng hộp thì đáng yêu phải biết"
4,0,Ốp ghi trong - cạnh có phần gồ lên chống va đập tốt. Mà ốp dày chỉ ngang màn hình thôi ko chờm qua phần cường lực đc. Shop nên nhập loại chờm cả cường lực mình mua nhiều về dùng dần ạ
5,1,"Hình ảnh và video chỉ mang tính chất nhận xu nhưng nhận xét là thật nhá:))))\nSản phẩm oki so với giá, nên mua lắm ạ\nShop giao hàng nhanh\nĐóng gói hằng chắc chắn \nSẽ ủng hộ shop nhiều"
6,0,"Shin Case đảm bảo: \n- Hình ảnh sản phẩm giống 100%.\n- Chất lượng sản phẩm tốt 100%.\n- Sản phẩm được kiểm tra kĩ càng, nghiêm ngặt trước khi giao hàng.\n- Sản phẩm luôn có sẵn trong kho hàng. \n- Giao hàng ngay khi nhận được đơn hàng.\n- Hoàn tiền ngay nếu sản phẩm không giống với mô tả.\n- Đổi trả ngay "
7,1,Ốp ok nha nên mua rẻ mà dep hơn sop khac nhìu lại có chóng sốc rat ưng hang du  nhe babsbsjsjsbsbsbbs\nBsjsjshsj\nSbsjjsdjdjjdj\n\nAvhshsbbsjsn\n\n\n
8,0,"TRƯỜNG XỊN NHẤT HÀ NỘI ❤️\n\nĐẠI HỌC THĂNG LONG \n\nTrường ĐH Thăng Long chơi lớn đặt màn hình LED ngay tại các ngã tư ở Hà Nội. \n\nNHÀ KO CÓ GÌ NGOÀI ĐIỀU KIỆN NHA =)))\n\nNGOÀI RA VÀO TRƯỜNG AUTO CÓ NGƯỜI YÊU XINH TRAI, ĐẸP GÁI, GIÀU VÀ GIỎI NHA =)))\n\nĐố các mem biết đây là ngã tư nào"
9,0,"Thông tin sản phẩm: \n- Chất liệu: Nhựa dẻo\n- Màu sắc: Nhiều Màu.\n- Ốp lưng được đóng gói bằng túi nilon thiết kế đẹp.\n- Hình ảnh chất lượng cao,sắc nét, không phai màu.\n- Hình ảnh thiết kế đẹp, phong cách, trẻ trung.\n- Công dụng: Là phụ kiện thời trang, thay đổi màu sắc cho điện thoại, giữ điện thoạ"
10,0,Cuộc sống như cách pha một ly trà\nHãy đun sôi cái tôi của bạn\nLàm bay hơi mọi lo lắng\nPha loãnh mọi buồn phiền\nLọc đi mọi sai lầm\nVì bắt đầu thưởng thức hạnh phúc\n
11,1,"Shop chuẩn bị hàng nhanh, giao hàng đúng, đủ số lượng, chất lượng sản phẩm tốt so với giá tiền. \nHàng này là hàng loại mỏng, mềm. Cái cũ dày gấp đôi. "
12,1,"Lười đánh giá nhưng sản phẩm tốt, chất lượng, đáng để mua, shipper thân thiện, nhân viên cskh tốt \n10 điểm \nCó thể do mình dễ tính hoặc shop tuyệt thật🤪"
13,0,(TB) MIEN PHI 1OO% DATA 3G/4G TOC DO CAO khi soan KM gui 9298 (0d) va xem clip tai http://dvhay.vn/thegioisao/. Sau KM 3.000d/ngay. LH: 19006437 (1000d/phut).
14,0,"🏩TRƯỜNG MẦM NON THIÊN HƯƠNG TIẾP TỤC TUYỂN SINH 🏩\n📣📣📣 Nhận thường xuyên trong năm học:\n🔺Các bé từ 8 tháng tuổi đến 36 tháng tuổi (nhà trẻ) và các bé trong độ tuổi mầm, chồi, lá (mẫu giáo).\n Bé sẽ được học : 📖📖📖\n🔻 Chương trình giáo dục của bộ GD& ĐT , kết hợp giáo dục tự lập sớm.\n🔻Tham gia"
15,1,"Đã nhận được hàng và hài lòng về sản phẩm, shop đóng gói cẩn thận, giao hàng nhanh, sẽ tiếp tục ủng hộ shop những đơn tiếp theo, 5 sao.💯💯💯🥳🥳🥳"
16,1,Ốp đơn giản mà đẹp so vs giá tiền thì rất đáng mua mỗi cái dùng đc 1 tgian thì bị ố vàng. Nhưng ksao vì đa phần ốp nào cũng v cứ đẹp là đc 😂
17,1,"chòi oi phải nói là giá rẻ mà ốp chất lượng quá tr,ship hơi lâu tí nhưng hem seo tại shop ở hà nội mà ship dô tận miền nam lận.cái hộp cute quá troi lun :33 (video chỉ mang tính chất nhận xu thoy nhe :v )"
